TransactionID,AccountID,TransactionDate,TransactionType,Amount
74,13,2026-10-24,Withdrawal,18856
75,59,2026-10-26,Withdrawal,14452
76,49,2026-10-09,Transfer,49617
77,36,2026-11-04,Transfer,42458
78,11,2026-05-26,Withdrawal,2286
79,149,2026-06-24,Deposit,6006
80,76,2026-06-24,Withdrawal,11610
81,52,2026-03-26,Transfer,24076
82,136,2026-09-09,Deposit,16940
83,124,2026-05-24,Withdrawal,7647
84,120,2026-02-05,Deposit,44423
85,102,2026-09-12,Deposit,25958
86,4,2026-05-18,Deposit,29904
87,95,2026-11-24,Transfer,17281
88,150,2026-07-27,Transfer,24444
89,28,2026-11-08,Withdrawal,1740
90,144,2026-06-20,Deposit,42544
91,17,2026-11-27,Withdrawal,46045
92,78,2026-11-14,Deposit,9260
93,12,2026-01-10,Withdrawal,7710
94,25,2026-04-18,Deposit,25570
95,117,2026-06-22,Transfer,45744
96,139,2026-07-19,Transfer,47718
97,40,2026-07-21,Deposit,32169
98,105,2026-05-02,Transfer,24383
99,56,2026-08-15,Deposit,23868
100,26,2026-11-12,Transfer,42359
101,92,2026-01-13,Withdrawal,12539
102,32,2026-08-03,Transfer,14000
103,6,2026-01-26,Withdrawal,16062
104,33,2026-10-07,Deposit,36420
105,54,2026-10-07,Deposit,21632
106,38,2026-10-01,Withdrawal,9582
107,34,2026-09-09,Deposit,7304
108,7,2026-03-01,Withdrawal,15693
109,83,2026-01-06,Withdrawal,3534
110,33,2026-12-14,Transfer,7548
111,17,2026-08-15,Withdrawal,33735
112,28,2026-08-17,Deposit,40411
113,12,2026-12-26,Transfer,34273
114,78,2026-08-21,Deposit,4086
115,123,2026-07-14,Transfer,7175
116,126,2026-12-15,Deposit,5394
117,83,2026-10-05,Deposit,8370
118,71,2026-10-21,Transfer,36037
119,84,2026-07-20,Transfer,19426
120,117,2026-09-20,Withdrawal,6599
121,30,2026-11-21,Transfer,47340
122,56,2026-07-15,Deposit,27219
123,87,2026-08-13,Withdrawal,47915
124,25,2026-06-14,Withdrawal,43688
125,66,2026-06-05,Transfer,31181
126,18,2026-02-27,Deposit,6209
127,111,2026-02-24,Transfer,24521
128,34,2026-09-02,Transfer,36904
129,144,2026-06-22,Deposit,27022
130,91,2026-11-25,Withdrawal,47355
131,14,2026-05-20,Withdrawal,23145
132,27,2026-10-17,Deposit,10240
133,124,2026-04-28,Deposit,23045
134,143,2026-06-04,Withdrawal,37724
135,58,2026-07-28,Transfer,40845
136,143,2026-01-20,Transfer,45547
137,69,2026-01-06,Withdrawal,46152
138,80,2026-06-12,Deposit,11988
139,37,2026-10-22,Withdrawal,4660
140,37,2026-12-21,Deposit,6113
141,136,2026-04-13,Withdrawal,29830
142,88,2026-03-12,Withdrawal,47390
143,84,2026-10-20,Deposit,3547
144,40,2026-03-25,Transfer,3361
145,21,2026-05-15,Transfer,27888
146,125,2026-10-15,Withdrawal,18002
147,56,2026-09-04,Withdrawal,28274
148,29,2026-05-22,Transfer,38971
149,125,2026-09-22,Withdrawal,3076
150,57,2026-07-20,Deposit,603
151,53,2026-05-07,Deposit,16845
152,75,2026-06-04,Deposit,32696
153,111,2026-03-05,Withdrawal,35003
154,59,2026-09-18,Transfer,23310
155,19,2026-07-28,Transfer,2872
156,112,2026-01-15,Deposit,20616
157,148,2026-07-19,Withdrawal,46597
158,107,2026-05-04,Withdrawal,1466
159,84,2026-03-26,Transfer,30252
160,93,2026-02-14,Deposit,16045
161,112,2026-10-13,Transfer,5254
162,102,2026-05-24,Withdrawal,14620
163,86,2026-03-03,Transfer,41599
164,30,2026-09-17,Deposit,22996
165,90,2026-12-27,Transfer,9779
166,61,2026-02-05,Withdrawal,13028
167,45,2026-10-05,Transfer,5038
168,46,2026-11-16,Withdrawal,49543
169,145,2026-10-15,Transfer,37094
170,83,2026-11-11,Deposit,28920
171,18,2026-08-15,Transfer,19945
172,71,2026-10-02,Withdrawal,33348
173,19,2026-05-15,Withdrawal,2564
174,15,2026-06-27,Withdrawal,5128
175,24,2026-10-20,Transfer,25297
176,119,2026-10-18,Transfer,2788
177,116,2026-10-21,Deposit,21171
178,122,2026-09-05,Deposit,29625
179,27,2026-06-23,Deposit,33166
180,45,2026-01-08,Transfer,28788
181,113,2026-09-17,Transfer,10503
182,94,2026-06-10,Withdrawal,26889
183,87,2026-11-20,Deposit,41445
184,86,2026-02-11,Deposit,36666
185,99,2026-05-09,Transfer,43128
186,39,2026-06-03,Transfer,43590
187,37,2026-06-10,Transfer,45875
188,101,2026-03-20,Transfer,5652
189,80,2026-09-13,Transfer,21627
190,33,2026-11-23,Transfer,45019
191,135,2026-02-21,Transfer,27848
192,131,2026-06-01,Withdrawal,20341
193,47,2026-04-11,Withdrawal,12683
194,58,2026-03-05,Deposit,19485
195,26,2026-09-25,Transfer,48507
196,135,2026-01-22,Withdrawal,40603
197,34,2026-10-13,Deposit,10733
198,47,2026-12-25,Transfer,10948
199,113,2026-01-14,Withdrawal,44426
200,61,2026-08-20,Withdrawal,49408
201,115,2026-04-18,Deposit,20381
202,121,2026-04-12,Transfer,37483
203,113,2026-08-25,Withdrawal,25126
204,129,2026-09-14,Deposit,13187
205,36,2026-05-02,Transfer,31595
206,96,2026-09-04,Transfer,33910
207,32,2026-05-03,Deposit,17977
208,116,2026-09-05,Withdrawal,6110
209,57,2026-08-12,Deposit,27290
210,14,2026-07-17,Withdrawal,15551
211,99,2026-02-12,Deposit,1947
212,82,2026-02-27,Transfer,42695
213,86,2026-03-05,Deposit,18900
214,121,2026-12-27,Deposit,49831
215,121,2026-08-20,Deposit,5292
216,5,2026-05-07,Deposit,36066
217,136,2026-07-04,Withdrawal,15673
218,78,2026-02-02,Deposit,27613
219,118,2026-02-04,Withdrawal,39207
220,138,2026-01-21,Transfer,37786
221,62,2026-12-05,Withdrawal,28230
222,1,2026-10-12,Deposit,37499
223,107,2026-03-22,Transfer,5710
224,135,2026-06-03,Transfer,35756
225,130,2026-09-18,Deposit,25688
226,121,2026-01-21,Withdrawal,24564
227,65,2026-12-01,Withdrawal,4527
228,89,2026-04-24,Transfer,41273
229,27,2026-10-24,Withdrawal,8843
230,12,2026-06-18,Withdrawal,42226
231,45,2026-11-15,Transfer,31461
232,47,2026-03-03,Transfer,30094
233,10,2026-05-07,Deposit,13172
234,11,2026-06-10,Transfer,26198
235,140,2026-08-09,Deposit,49467
236,49,2026-05-12,Deposit,43074
237,85,2026-05-04,Withdrawal,28736
238,103,2026-12-15,Withdrawal,22319
239,48,2026-08-23,Withdrawal,24174
240,133,2026-05-26,Deposit,47750
241,109,2026-02-14,Transfer,11926
242,140,2026-05-11,Deposit,5347
243,84,2026-11-10,Withdrawal,29323
244,110,2026-03-23,Withdrawal,23138
245,115,2026-01-24,Withdrawal,40394
246,112,2026-05-21,Deposit,5017
247,104,2026-06-17,Transfer,44625
248,41,2026-01-05,Transfer,44539
249,113,2026-01-05,Deposit,15566
250,94,2026-06-13,Transfer,2222
251,40,2026-11-15,Withdrawal,24480
252,114,2026-02-19,Deposit,34798
253,94,2026-07-11,Transfer,18364
254,64,2026-02-01,Transfer,12292
255,128,2026-09-13,Transfer,7817
256,68,2026-05-23,Withdrawal,14162
257,74,2026-12-16,Deposit,8137
258,35,2026-02-15,Deposit,46851
259,114,2026-02-26,Transfer,21044
260,89,2026-12-03,Transfer,35631
261,75,2026-05-28,Deposit,46749
262,45,2026-06-17,Deposit,8053
263,52,2026-03-08,Withdrawal,1822
264,93,2026-09-19,Withdrawal,30731
265,142,2026-03-20,Deposit,4408
266,80,2026-07-23,Transfer,31469
267,135,2026-07-25,Withdrawal,37776
268,19,2026-03-11,Transfer,4960
269,116,2026-08-22,Transfer,22678
270,33,2026-09-21,Transfer,12025
271,34,2026-07-17,Deposit,8237
272,133,2026-03-10,Deposit,10714
273,83,2026-12-08,Withdrawal,34106
274,73,2026-02-09,Deposit,41719
275,142,2026-05-05,Transfer,19945
276,137,2026-02-17,Transfer,11151
277,149,2026-03-06,Transfer,41025
278,87,2026-10-02,Deposit,5423
279,12,2026-11-25,Transfer,17444
280,54,2026-10-14,Transfer,41976
281,8,2026-08-21,Transfer,19083
282,78,2026-08-08,Transfer,26713
283,77,2026-08-03,Transfer,4026
284,41,2026-08-14,Withdrawal,30537
285,53,2026-06-20,Deposit,20585
286,82,2026-12-28,Withdrawal,26230
287,34,2026-06-17,Transfer,7058
288,82,2026-04-15,Deposit,17629
289,116,2026-04-05,Deposit,3416
290,75,2026-07-28,Transfer,27502
291,64,2026-03-27,Withdrawal,37959
292,81,2026-04-25,Deposit,32754
293,132,2026-08-16,Withdrawal,32695
294,6,2026-02-13,Transfer,30065
295,62,2026-04-19,Withdrawal,3288
296,13,2026-05-16,Transfer,42977
297,121,2026-05-18,Deposit,7144
298,111,2026-03-09,Transfer,24071
299,104,2026-06-02,Withdrawal,3452
300,146,2026-09-07,Withdrawal,36356
301,74,2026-02-13,Transfer,29614
302,141,2026-05-27,Transfer,44690
303,31,2026-03-04,Withdrawal,24557
304,87,2026-09-12,Deposit,13145
305,131,2026-07-17,Deposit,3069
306,10,2026-03-23,Withdrawal,31147
307,133,2026-08-05,Transfer,33884
308,36,2026-06-20,Withdrawal,10749
309,101,2026-10-24,Withdrawal,39010
310,87,2026-09-27,Transfer,34987
311,126,2026-12-19,Withdrawal,31222
312,5,2026-06-11,Transfer,7283
313,107,2026-10-10,Transfer,45191
314,7,2026-10-16,Withdrawal,43064
315,149,2026-10-08,Transfer,3465
316,150,2026-08-06,Transfer,41323
317,98,2026-03-27,Transfer,15972
318,9,2026-10-23,Deposit,12603
319,5,2026-08-11,Withdrawal,10024
320,106,2026-12-07,Withdrawal,32987
321,121,2026-12-24,Deposit,46353
322,36,2026-09-07,Transfer,21402
323,123,2026-09-13,Withdrawal,11449
324,118,2026-09-11,Transfer,23318
325,68,2026-10-16,Deposit,16255
326,72,2026-09-10,Deposit,19604
327,74,2026-12-07,Transfer,46302
328,126,2026-06-16,Withdrawal,36832
329,71,2026-05-04,Transfer,44443
330,140,2026-07-13,Withdrawal,9699
331,75,2026-01-10,Transfer,5279
332,89,2026-08-21,Withdrawal,49077
333,123,2026-04-07,Transfer,17868
334,144,2026-12-09,Deposit,7258
335,62,2026-04-02,Transfer,34902
336,58,2026-11-08,Deposit,6666
337,106,2026-06-23,Withdrawal,6689
338,36,2026-01-18,Deposit,26767
339,122,2026-08-21,Deposit,49639
340,74,2026-06-10,Transfer,3977
341,23,2026-11-19,Deposit,35171
342,10,2026-03-14,Deposit,2481
343,102,2026-08-06,Transfer,19070
344,10,2026-01-10,Transfer,39603
345,28,2026-06-10,Withdrawal,42129
346,140,2026-09-16,Deposit,33144
347,120,2026-05-07,Deposit,21771
348,42,2026-12-15,Transfer,16960
349,48,2026-01-24,Withdrawal,19434
350,146,2026-11-25,Deposit,11601
351,104,2026-07-17,Withdrawal,5784
352,103,2026-11-04,Deposit,9315
353,123,2026-06-08,Deposit,17190
354,99,2026-04-15,Withdrawal,21702
355,78,2026-10-24,Transfer,849
356,67,2026-11-12,Transfer,15586
357,16,2026-11-04,Withdrawal,20206
358,41,2026-07-22,Transfer,46208
359,80,2026-12-04,Transfer,19435
360,95,2026-10-08,Deposit,8853
361,123,2026-03-15,Transfer,39797
362,96,2026-07-23,Transfer,30956
363,138,2026-11-27,Deposit,16317
364,21,2026-09-15,Transfer,46222
365,93,2026-02-19,Deposit,4147
366,141,2026-09-07,Transfer,35270
367,39,2026-03-11,Transfer,29056
368,30,2026-11-07,Transfer,38317
369,126,2026-02-17,Withdrawal,3746
370,117,2026-03-17,Withdrawal,30036
371,145,2026-01-18,Withdrawal,44190
372,79,2026-12-01,Withdrawal,16776
373,1,2026-12-07,Transfer,4886
374,12,2026-07-12,Transfer,4278
375,139,2026-01-03,Withdrawal,2179
376,74,2026-07-06,Deposit,42142
377,108,2026-06-13,Withdrawal,24839
378,97,2026-02-22,Transfer,35443
379,35,2026-11-28,Withdrawal,7874
380,46,2026-09-13,Transfer,8445
381,58,2026-01-25,Deposit,19653
382,119,2026-11-24,Transfer,27895
383,137,2026-07-27,Deposit,16320
384,118,2026-06-05,Withdrawal,12452
385,29,2026-01-26,Transfer,27575
386,5,2026-04-07,Deposit,6712
387,9,2026-08-20,Transfer,46190
388,13,2026-04-24,Deposit,26462
389,113,2026-04-18,Deposit,49539
390,15,2026-03-17,Withdrawal,15446
391,148,2026-06-19,Transfer,44175
392,83,2026-04-10,Deposit,43367
393,134,2026-04-14,Withdrawal,18132
394,16,2026-09-19,Transfer,11577
395,110,2026-09-16,Deposit,22671
396,98,2026-09-11,Transfer,27384
397,105,2026-03-10,Withdrawal,12150
398,138,2026-08-08,Deposit,19809
399,37,2026-08-02,Transfer,27145
400,107,2026-09-17,Deposit,25555
401,63,2026-05-07,Withdrawal,42482
402,21,2026-08-28,Withdrawal,6159
403,138,2026-12-27,Deposit,3477
404,69,2026-07-22,Transfer,39613
405,11,2026-02-07,Transfer,47568
406,144,2026-04-16,Deposit,21921
407,78,2026-01-07,Deposit,48693
408,31,2026-12-25,Withdrawal,15998
409,53,2026-07-08,Transfer,21177
410,73,2026-07-15,Transfer,42614
411,92,2026-05-09,Withdrawal,33707
412,128,2026-08-04,Transfer,30868
413,82,2026-04-12,Withdrawal,27227
414,12,2026-10-28,Deposit,48678
415,38,2026-01-09,Transfer,38375
416,149,2026-12-14,Withdrawal,10088
417,51,2026-06-08,Withdrawal,37441
418,63,2026-08-18,Transfer,44982
419,87,2026-05-25,Withdrawal,47519
420,126,2026-08-06,Transfer,23180
421,44,2026-03-24,Transfer,32102
422,48,2026-09-21,Deposit,34437
423,9,2026-02-27,Transfer,3279
424,2,2026-07-05,Transfer,15267
425,18,2026-12-05,Deposit,14434
426,130,2026-08-12,Deposit,40590
427,124,2026-11-16,Deposit,533
428,137,2026-09-14,Deposit,1196
429,136,2026-12-09,Transfer,18888
430,5,2026-09-27,Transfer,44273
431,111,2026-03-04,Deposit,34466
432,39,2026-04-07,Transfer,34601
433,65,2026-06-09,Withdrawal,5278
434,96,2026-07-15,Transfer,16038
435,58,2026-05-22,Deposit,42943
436,9,2026-02-13,Withdrawal,24818
437,142,2026-08-02,Transfer,719
438,44,2026-02-16,Withdrawal,42364
439,85,2026-10-28,Deposit,34713
440,11,2026-04-07,Transfer,37244
441,122,2026-05-02,Deposit,44954
442,72,2026-09-19,Transfer,2256
443,46,2026-06-01,Deposit,38571
444,37,2026-12-27,Withdrawal,5142
445,77,2026-03-19,Deposit,37238
446,100,2026-11-18,Withdrawal,25255
447,36,2026-12-24,Deposit,32919
448,89,2026-01-04,Withdrawal,15313
449,20,2026-06-20,Transfer,39133
450,102,2026-06-01,Transfer,18012
451,116,2026-08-08,Withdrawal,36343
452,97,2026-07-06,Transfer,38495
453,98,2026-02-25,Transfer,19457
454,64,2026-12-03,Deposit,17661
455,40,2026-07-23,Transfer,10210
456,100,2026-06-12,Deposit,6097
457,2,2026-05-15,Withdrawal,49995
458,70,2026-02-05,Deposit,12380
459,111,2026-08-18,Transfer,33683
460,105,2026-02-01,Deposit,23294
461,142,2026-02-20,Transfer,21361
462,99,2026-01-10,Withdrawal,25514
463,22,2026-12-18,Deposit,37583
464,134,2026-03-22,Withdrawal,11208
465,36,2026-05-10,Withdrawal,32417
466,38,2026-02-06,Withdrawal,18185
467,108,2026-05-16,Deposit,23766
468,65,2026-04-24,Transfer,32592
469,51,2026-08-04,Deposit,20066
470,2,2026-07-11,Transfer,24996
471,85,2026-08-11,Withdrawal,42766
472,35,2026-05-11,Transfer,45666
473,52,2026-08-11,Deposit,26199
474,82,2026-05-24,Transfer,41577
475,126,2026-10-26,Deposit,21457
476,97,2026-05-27,Withdrawal,24021
477,30,2026-10-07,Transfer,35858
478,47,2026-11-25,Transfer,1863
479,119,2026-12-07,Withdrawal,19192
480,18,2026-07-22,Withdrawal,9221
481,78,2026-04-09,Transfer,10201
482,109,2026-07-03,Withdrawal,39286
483,123,2026-10-13,Transfer,33301
484,108,2026-09-02,Withdrawal,46082
485,138,2026-10-21,Deposit,7267
486,64,2026-11-22,Withdrawal,11001
487,12,2026-10-21,Transfer,42484
488,103,2026-06-26,Withdrawal,7043
489,3,2026-02-09,Deposit,33567
490,133,2026-09-19,Transfer,37798
491,57,2026-08-12,Withdrawal,30447
492,129,2026-03-12,Deposit,31738
493,27,2026-05-14,Deposit,7706
494,37,2026-06-10,Withdrawal,29940
495,53,2026-09-16,Withdrawal,31305
496,25,2026-08-24,Transfer,29751
497,82,2026-02-10,Deposit,46681
498,30,2026-01-28,Withdrawal,42565
499,28,2026-11-26,Deposit,48628
500,63,2026-09-06,Transfer,10594
