AccountID,CustomerID,AccountType,Balance,OpenDate,BranchID
97,23,Current,31328,2025-04-01,1
98,59,Savings,425173,2024-11-01,5
99,72,Current,400968,2024-10-01,5
100,55,Current,475395,2022-12-01,4
101,58,Current,399147,2022-11-01,3
102,99,Current,333596,2022-05-01,4
103,10,Current,127942,2023-06-01,3
104,70,Savings,77547,2022-04-01,4
105,89,Savings,375367,2022-02-01,4
106,53,Current,289484,2024-07-01,1
107,27,Current,209198,2025-12-01,1
108,98,Current,255074,2021-06-01,3
109,97,Current,452452,2024-09-01,5
110,78,Savings,260972,2022-05-01,4
111,63,Savings,208873,2023-11-01,4
112,93,Savings,445667,2024-03-01,5
113,69,Savings,480491,2024-10-01,5
114,85,Savings,49012,2024-03-01,4
115,24,Savings,141396,2024-06-01,2
116,59,Current,181947,2024-05-01,4
117,33,Savings,251576,2021-12-01,5
118,7,Current,122556,2021-11-01,1
119,97,Savings,134647,2022-01-01,5
120,20,Savings,71176,2024-11-01,1
121,73,Savings,248811,2023-06-01,2
122,78,Savings,412786,2022-05-01,1
123,75,Savings,492004,2023-10-01,4
124,51,Savings,44844,2025-12-01,2
125,14,Current,450798,2025-02-01,5
126,6,Current,284311,2024-11-01,3
127,9,Current,11633,2024-08-01,1
128,56,Current,338229,2024-12-01,2
129,56,Savings,389720,2025-11-01,3
130,79,Current,248727,2024-12-01,5
131,35,Current,451542,2022-02-01,3
132,58,Savings,398465,2024-10-01,5
133,86,Current,181368,2021-08-01,3
134,24,Current,116211,2023-05-01,3
135,36,Current,296394,2021-09-01,2
136,11,Savings,382526,2024-08-01,5
137,98,Savings,367078,2024-11-01,4
138,58,Savings,53786,2023-04-01,4
139,89,Savings,165540,2025-06-01,4
140,71,Current,228086,2025-06-01,3
141,90,Current,147038,2023-05-01,2
142,16,Savings,170438,2021-12-01,5
143,98,Savings,105422,2022-12-01,4
144,36,Current,57704,2022-05-01,2
145,47,Savings,163475,2021-12-01,5
146,17,Current,28863,2021-09-01,3
147,90,Savings,339427,2024-02-01,1
148,74,Current,251099,2024-08-01,3
149,24,Savings,137371,2024-02-01,1
150,52,Current,43840,2025-11-01,1
